SIDER_ID,Concept_Type,Indication_Name
CID100000085,PT,Failure to thrive
CID100000085,PT,Carnitine deficiency
CID100000085,PT,Muscular weakness
CID100000085,PT,Encephalopathy
CID100000085,PT,Muscle relaxant therapy
CID100000085,PT,Cardiomyopathy
CID100000085,PT,Inborn error of metabolism
CID100000085,PT,Renal failure chronic
CID100000085,PT,Hypoglycaemia
CID100000085,PT,Hypotonia
CID100000119,PT,Hepatitis viral
CID100000119,PT,Insomnia
CID100000119,PT,Foetal damage
CID100000119,PT,Herpes zoster
CID100000119,PT,Bruton's agammaglobulinaemia
CID100000119,PT,Hypogammaglobulinaemia
CID100000119,PT,Immunodeficiency
CID100000119,PT,Thymoma
CID100000119,PT,Hepatitis
CID100000119,PT,Measles
CID100000119,PT,Hepatitis B
CID100000119,PT,Hepatitis A
CID100000119,PT,Infection
CID100000119,PT,Immunodeficiency common variable
CID100000119,PT,Varicella
CID100000119,PT,Hypogammaglobulinaemia
CID100000119,PT,Rubella
CID100000137,PT,Malignant glioma
CID100000137,PT,Porphyria non-acute
CID100000137,PT,Actinic keratosis
CID100000137,PT,Seborrhoeic keratosis
CID100000143,PT,Osteosarcoma
CID100000143,PT,Colorectal cancer
CID100000143,PT,Colorectal cancer metastatic
CID100000143,PT,Malabsorption
CID100000143,PT,Malnutrition
CID100000143,PT,Malabsorption
CID100000143,PT,Foetor hepaticus
CID100000143,PT,Liver disorder
CID100000143,PT,Folate deficiency
CID100000143,PT,Colorectal cancer
CID100000143,PT,Colon cancer
CID100000143,PT,Neoplasm malignant
CID100000143,PT,Pernicious anaemia
CID100000143,PT,Anaemia megaloblastic
CID100000143,PT,Anaemia
CID100000143,PT,Hepatocellular injury
CID100000158,PT,Pre-eclampsia
CID100000158,PT,Nausea
CID100000158,PT,Postmature baby
CID100000158,PT,Hypotension
CID100000158,PT,Stillbirth
CID100000158,PT,Rhesus incompatibility
CID100000158,PT,Benign hydatidiform mole
CID100000158,PT,Hypertension
CID100000158,PT,Vomiting
CID100000158,PT,Microsomia
CID100000158,PT,Foetal death
CID100000158,PT,Patent ductus arteriosus
CID100000158,PT,Benign hydatidiform mole
CID100000158,PT,Diabetes mellitus
CID100000158,PT,Cardiovascular disorder
CID100000158,PT,Abortion missed
CID100000158,PT,Abdominal pain
CID100000159,PT,Pulmonary arterial hypertension
CID100000159,PT,Hypertension
CID100000159,PT,Pulmonary arterial hypertension
CID100000159,PT,Connective tissue disorder
CID100000159,PT,Scleroderma
CID100000175,PT,Infection
CID100000175,PT,Hyponatraemia
CID100000187,PT,Miosis
CID100000191,PT,Myocardial ischaemia
CID100000191,PT,Coronary artery disease
CID100000191,PT,Vascular resistance systemic
CID100000191,PT,Atrioventricular block
CID100000191,PT,Electrocardiogram QRS complex
CID100000191,PT,Sinus rhythm
CID100000191,PT,Wolff-Parkinson-White syndrome
CID100000191,PT,Supraventricular tachycardia
CID100000191,PT,Convulsion
CID100000191,PT,Supraventricular tachycardia
CID100000191,PT,Cardiac disorder
CID100000191,PT,Atrial flutter
CID100000191,PT,Atrial fibrillation
CID100000191,PT,Ventricular tachycardia
CID100000206,PT,Pneumonia
CID100000206,PT,Varicose vein
CID100000206,PT,Wound
CID100000206,PT,Tetany
CID100000206,PT,Metabolic alkalosis
CID100000206,PT,Dehydration
CID100000206,PT,Abdominal infection
CID100000206,PT,Hypoglycaemia
CID100000206,PT,Hypoglycaemia
CID100000206,PT,Shock hypoglycaemic
CID100000206,PT,Renal failure
CID100000206,PT,Renal impairment
CID100000206,PT,Neuropathy peripheral
CID100000206,PT,Hepatic cirrhosis
