,MW,TPSA,XLogP,NHD,NHA,NRB
0,367.4,66.5,2.6,0,7,1
1,238.28,75.3,2.0,2,3,5
2,297.4,49.5,4.3,1,3,6
3,16.043,0.0,0.6,0,0,0
4,412.6,24.5,5.4,1,3,7
5,393.5,138.0,-0.9,3,6,3
6,138.06,70.1,-1.4,2,4,1
7,360.4,94.8,1.6,3,5,2
8,234.29,38.7,3.6,1,3,3
9,155.28,12.0,3.5,1,1,3
10,266.34,70.6,0.8,3,4,7
11,371.27,50.8,2.1,1,4,6
12,287.35,62.3,2.8,2,3,4
13,316.4,57.3,3.6,3,4,7
14,413.4,75.7,2.7,0,8,4
15,372.5,94.8,1.4,3,5,2
16,376.4,112.0,1.0,3,6,2
17,496.5,91.3,3.0,1,9,4
18,412.4,115.0,1.1,4,8,2
19,414.5,136.0,0.7,3,6,5
20,352.5,33.3,4.6,2,3,6
21,424.5,151.0,2.7,2,8,8
22,405.5,136.0,-1.0,3,7,3
23,338.5,33.3,4.0,2,3,6
24,510.6,127.0,4.4,1,7,10
25,521.0,107.0,2.9,1,7,8
26,504.6,107.0,3.7,1,8,7
27,252.34,110.0,0.2,2,4,7
28,623.7,128.0,4.6,2,9,8
29,440.5,193.0,-0.4,4,9,6
30,546.0,150.0,3.8,3,7,8
31,924.1,320.0,0.0,12,18,3
32,429.5,187.0,0.5,4,9,6
33,366.5,137.0,2.6,2,6,5
34,432.5,93.1,2.6,2,7,3
35,430.6,38.0,5.4,1,3,2
36,355.4,70.0,2.9,2,5,2
37,398.9,35.9,4.0,1,4,5
38,342.5,54.4,2.9,1,3,1
39,443.5,158.0,2.1,3,8,6
40,397.8,158.0,-1.4,4,7,4
41,510.6,192.0,0.7,4,8,8
42,672.8,164.0,4.3,3,9,7
43,330.4,137.0,1.8,2,6,6
44,418.3,64.4,3.1,0,4,3
45,343.8,47.9,3.5,2,5,1
46,501.6,136.0,2.2,2,8,4
47,269.26,106.0,1.0,4,6,4
48,550.1,106.0,2.9,1,8,6
49,253.35,116.0,0.4,4,3,7
50,381.4,64.1,0.4,1,6,4
51,375.5,73.3,0.2,1,5,5
52,413.4,64.1,1.1,1,7,4
53,375.5,73.3,0.2,1,5,5
54,390.4,110.0,0.0,1,6,4
55,390.4,110.0,0.0,1,6,4
56,423.5,107.0,-0.6,1,6,5
57,464.6,74.6,3.7,2,5,2
58,439.3,81.8,2.2,2,4,4
59,409.3,72.5,1.9,2,4,4
60,518.6,99.1,4.4,1,8,6
61,339.5,241.0,-0.6,6,6,7
62,407.5,100.0,-0.7,1,6,5
63,488.4,43.9,3.9,0,5,6
64,469.3,130.0,3.2,2,6,4
65,502.4,43.9,4.7,0,5,7
66,297.39,51.2,1.2,1,5,3
67,491.9,164.0,1.3,2,9,7
68,516.4,43.9,5.2,0,5,8
69,269.14,32.3,1.1,1,2,0
70,470.5,101.0,3.0,2,9,4
71,416.5,80.7,4.2,1,5,6
72,434.9,97.7,1.5,1,6,4
73,656.7,235.0,2.3,7,13,9
74,476.5,99.1,3.2,1,8,4
75,323.4,42.4,4.5,1,3,4
76,391.5,89.4,0.7,1,5,5
77,412.9,54.4,3.5,1,5,2
78,535.6,112.0,2.8,1,8,6
79,390.5,74.6,2.7,2,5,2
80,608.7,118.0,4.1,1,10,10
81,365.4,147.0,-2.0,3,7,5
82,941.0,242.0,3.4,5,19,9
83,345.4,64.1,0.2,1,4,4
84,301.4,52.9,2.0,2,4,0
85,453.5,230.0,-0.5,2,11,8
86,470.5,206.0,0.8,2,13,7
87,303.35,62.3,0.9,1,5,5
88,180.16,65.3,-0.9,0,3,0
89,312.8,15.3,4.3,1,2,3
90,585.6,208.0,-3.7,7,12,5
91,613.1,109.0,4.7,1,9,9
92,376.5,76.8,2.2,2,5,5
93,413.4,221.0,-1.2,4,11,6
94,357.35,185.0,0.1,3,10,7
95,471.5,238.0,-1.7,3,13,8
