,MW,TPSA,XLogP,NHD,NHA,NRB
2342,88.15,9.2,0.9,0,1,1
1368,106.16,0.0,3.1,0,0,0
357,226.27,75.3,2.2,2,3,5
1,238.28,75.3,2.0,2,3,5
797,380.4,42.5,4.1,2,7,6
2338,471.7,43.7,6.6,2,3,9
659,414.5,115.0,4.4,2,6,10
1882,231.29,26.8,1.0,0,3,2
275,343.3,64.6,3.9,1,8,5
1401,106.16,0.0,3.2,0,0,0
337,206.22,23.6,0.5,0,3,1
821,168.04,9.2,2.6,0,7,2
1610,468.7,24.5,7.0,1,3,8
608,247.33,32.7,2.4,1,3,2
1981,326.8,30.9,3.1,1,3,1
266,88.15,20.2,0.9,1,1,1
1925,385.5,69.6,2.6,0,6,6
980,385.5,53.2,2.8,0,4,3
165,98.96,0.0,1.5,0,0,1
1914,307.4,50.7,2.8,2,4,11
607,300.4,37.3,6.3,1,2,5
333,474.4,52.6,3.7,1,5,6
711,236.27,75.3,1.8,2,3,2
292,170.17,75.3,0.0,2,3,1
2072,171.24,63.3,-1.1,2,3,3
1590,271.4,12.5,3.4,0,2,1
1406,413.5,131.0,1.1,3,6,9
1852,381.5,65.6,5.4,1,5,8
665,260.37,32.3,2.9,1,2,7
625,398.3,6.5,3.9,0,2,4
2100,184.49,9.2,2.1,0,6,2
332,198.22,37.3,3.5,1,2,2
260,72.11,17.1,0.3,0,1,1
1208,262.3,66.5,2.3,1,3,3
248,209.67,36.4,1.8,2,1,2
1409,72.15,0.0,3.4,0,0,2
247,150.22,16.1,0.8,0,2,3
2199,44.013,19.1,0.5,0,2,0
2346,194.95,0.0,3.0,0,4,1
1933,236.27,46.3,2.5,1,1,0
1655,397.89,36.4,2.7,2,1,2
1071,86.18,0.0,3.9,0,0,3
1148,379.5,53.6,2.3,2,4,6
271,86.18,0.0,3.2,0,0,2
267,114.23,0.0,4.3,0,0,4
1569,366.3,71.8,3.9,1,8,8
946,28.05,0.0,1.2,0,0,0
334,180.55,0.0,3.8,0,3,0
117,281.3,41.5,2.3,2,3,0
1146,406.5,33.3,5.8,2,6,6
88,180.16,65.3,-0.9,0,3,0
291,218.28,106.0,1.8,2,3,2
2179,230.09,36.4,2.0,2,1,2
68,516.4,43.9,5.2,0,5,8
648,241.24,108.0,-2.1,3,4,3
307,269.14,32.3,1.1,1,2,0
910,88.11,26.3,0.7,0,2,2
96,362.5,94.8,1.6,3,5,2
754,257.22,99.0,-2.3,2,6,8
633,311.4,39.1,2.2,1,4,3
2343,134.22,0.0,4.1,0,0,1
634,327.4,55.2,3.0,1,4,3
544,409.6,52.1,5.0,0,5,7
1363,440.6,72.7,3.3,1,6,13
1566,266.34,46.3,3.2,1,1,0
1841,341.8,50.4,3.4,1,4,1
673,406.5,31.8,6.5,0,6,4
644,195.65,50.4,1.2,2,1,0
151,344.23,6.5,3.8,0,2,3
670,259.68,36.4,2.5,2,3,2
1702,402.6,74.3,4.6,0,5,4
677,437.6,26.8,4.6,0,4,8
1354,313.78,85.6,0.8,3,5,4
1500,102.13,26.3,1.2,0,2,3
629,314.41,112.0,0.8,1,6,9
403,233.3,132.0,1.1,3,4,2
1053,287.35,41.9,1.8,1,4,1
191,182.22,58.2,0.2,2,2,0
2067,244.26,37.3,4.2,1,3,3
365,268.35,75.3,3.5,2,3,8
188,365.5,50.5,4.8,1,5,8
2288,285.4,28.6,3.3,0,4,7
632,307.4,39.1,2.5,1,3,3
932,346.5,74.6,1.9,2,4,2
645,382.24,36.3,3.6,0,3,5
1117,245.36,20.3,3.4,0,2,5
390,294.3,52.6,2.0,2,3,3
960,470.6,44.7,5.1,2,4,8
640,308.4,43.8,4.9,1,3,5
1109,379.5,88.5,2.6,2,5,9
265,88.15,20.2,1.2,1,1,2
1673,305.2,66.6,-0.5,2,4,8
65,502.4,43.9,4.7,0,5,7
2324,398.4,150.0,-0.7,3,9,6
182,249.35,32.7,2.8,1,3,6
476,286.33,102.0,0.9,3,6,4
1803,122.17,75.2,0.5,2,3,3
2157,90.15,75.2,0.2,2,2,1
87,303.35,62.3,0.9,1,5,5
1662,146.06,1.0,4.2,0,6,0
1621,500.7,120.0,3.8,2,8,8
440,296.4,33.3,2.9,2,3,5
355,258.05,66.4,2.5,2,4,1
174,122.99,0.0,2.1,0,0,1
2154,164.96,9.2,2.2,0,3,2
431,168.19,28.7,3.2,1,1,0
2080,197.38,0.0,2.3,0,3,0
281,371.5,12.5,7.1,0,2,8
628,268.15,36.4,2.1,2,1,2
27,252.34,110.0,0.2,2,4,7
553,352.5,41.6,3.8,1,3,8
1438,138.17,43.6,0.1,0,3,0
590,248.32,65.3,1.9,2,4,6
1435,333.36,64.1,0.3,1,7,3
2316,272.37,86.8,0.2,3,5,6
2148,32.042,20.2,-0.5,1,1,0
1103,116.16,26.3,1.8,0,2,3
264,282.4,35.5,4.5,2,3,4
1888,313.8,36.9,2.6,1,3,1
268,100.2,0.0,3.7,0,0,3
2341,102.17,9.2,1.4,0,1,2
239,86.18,0.0,3.0,0,0,1
631,309.4,29.8,3.3,1,3,3
1214,217.15,118.0,-4.2,3,7,2
647,380.5,42.0,5.9,1,2,5
2095,357.8,68.5,4.3,1,4,4
177,341.8,50.4,2.7,1,4,2
244,221.03,46.5,2.8,1,3,3
1212,98.19,0.0,3.6,0,0,0
274,304.3,101.0,2.5,1,6,4
1988,129.16,63.3,-2.6,2,3,1
175,208.33,56.2,2.3,2,1,4
1173,170.21,63.4,-0.3,1,2,3
352,148.2,24.9,0.2,1,2,1
311,86.18,0.0,3.2,0,0,2
637,391.5,28.5,4.1,0,2,5
330,204.23,83.7,0.9,2,5,2
1144,444.5,91.5,2.9,3,7,6
231,161.2,36.4,1.1,2,1,2
429,290.4,40.5,3.5,2,3,0
675,314.37,166.0,1.2,4,5,5
2267,383.4,107.0,2.0,1,8,4
2093,206.28,37.3,3.5,1,2,4
511,130.18,26.3,1.9,0,2,5
320,198.22,75.3,1.2,2,3,3
149,275.4,21.7,3.3,0,3,5
160,120.19,0.0,3.0,0,0,0
23,338.5,33.3,4.0,2,3,6
1543,179.22,52.3,2.4,1,3,4
13,316.4,57.3,3.6,3,4,7
516,389.5,38.9,4.4,0,4,4
1420,194.23,54.2,-0.2,0,2,2
1422,56.06,20.2,-0.4,1,1,0
1122,88.15,20.2,1.2,1,1,2
1138,289.4,49.8,1.8,1,4,5
1772,223.31,41.5,1.9,2,3,6
1872,324.8,63.3,0.9,1,4,2
186,60.1,20.2,0.3,1,1,1
1847,376.5,32.3,4.9,1,3,6
1696,224.21,78.9,-0.8,2,4,2
1322,128.25,0.0,4.5,0,0,6
2111,531.4,69.1,4.3,0,6,7
314,193.24,63.3,0.6,2,2,4
588,293.4,3.2,5.2,0,1,3
47,269.26,106.0,1.0,4,6,4
650,321.9,50.6,3.5,1,2,2
1898,473.6,80.2,3.1,0,5,4
1811,470.7,74.6,6.4,2,4,1
282,318.33,56.8,2.6,1,7,9
618,337.4,89.8,3.4,2,5,5
1056,446.9,68.7,4.1,1,8,8
364,254.33,75.3,3.0,2,3,7
2048,287.35,62.3,2.8,2,3,4
575,418.3,64.4,3.1,0,4,3
270,128.25,0.0,4.8,0,0,5
1606,416.4,42.5,5.0,2,9,7
1627,266.4,24.4,4.5,1,1,5
748,360.3,29.5,3.0,0,3,11
2063,313.28,78.5,2.1,0,5,1
636,524.7,114.0,5.7,0,7,9
323,175.23,36.4,0.9,2,1,2
1930,194.19,58.4,-0.1,0,3,0
1561,273.33,41.9,0.8,1,4,1
2213,286.71,61.7,2.2,2,3,1
658,324.4,115.0,2.5,2,6,8
2364,339.36,124.0,-0.8,1,9,3
2262,137.16,36.5,1.0,1,2,1
1506,367.9,76.8,2.0,2,5,6
171,173.15,63.6,0.9,0,4,3
1907,78.11,0.0,2.1,0,0,0
1507,303.35,55.8,2.3,0,5,5
1616,393.5,74.4,3.9,2,5,6
1617,351.4,59.3,3.2,2,5,5
1104,102.13,26.3,0.9,0,2,2
1874,249.35,41.5,3.1,2,3,8
1895,180.16,63.6,1.2,1,4,3
7,360.4,94.8,1.6,3,5,2
1027,189.14,83.9,-0.5,1,5,3
436,456.5,99.0,3.4,1,10,7
154,167.8,0.0,2.7,0,0,0
1579,359.8,66.8,3.3,1,4,4
2052,326.8,23.8,3.1,0,3,3
599,76.15,64.2,2.1,0,2,0
661,206.24,72.2,0.6,2,2,4
2032,249.31,41.6,3.5,1,1,0
198,357.23,112.0,3.2,2,5,6
718,420.5,64.3,2.5,1,5,4
1218,219.17,93.1,0.1,1,6,5
1309,230.26,46.5,3.3,1,3,3
2223,180.16,67.2,-0.2,1,3,0
2347,355.4,40.2,3.2,0,5,4
2163,267.36,50.7,1.9,2,4,9
1971,324.4,36.3,3.2,0,4,5
668,384.9,62.4,4.4,2,5,4
161,126.24,0.0,4.0,0,0,0
1638,344.4,67.0,2.0,0,4,4
2309,138.12,57.5,2.3,2,3,1
269,142.28,0.0,5.3,0,0,6
818,142.28,0.0,5.0,0,0,7
176,140.27,0.0,5.7,0,0,7
1301,409.5,43.9,3.2,0,5,6
1337,405.4,71.0,3.0,3,7,6
1784,263.37,32.7,2.6,1,3,4
691,302.4,57.7,2.0,3,3,7
1929,193.24,52.3,2.9,1,3,5
1656,308.99,36.4,2.7,2,1,2
2198,238.16,121.0,-0.5,1,6,2
232,230.09,36.4,2.2,2,3,2
1634,304.4,35.4,2.5,1,2,0
1885,277.4,3.2,5.0,0,1,3
1716,140.27,0.0,4.7,0,0,1
1808,177.24,28.8,1.3,0,1,2
325,142.2,18.5,2.1,0,2,7
571,228.29,40.5,3.3,2,2,2
613,380.4,103.0,1.7,2,6,4
369,482.0,82.6,5.2,0,6,7
1312,505.6,140.0,2.9,3,8,12
1147,379.5,74.4,3.6,2,5,6
664,326.35,90.0,3.6,2,5,5
156,133.4,0.0,2.4,0,0,0
1954,304.2,40.5,1.7,1,3,9
1612,454.6,24.5,6.5,1,3,8
641,441.5,89.9,4.9,0,6,6
2016,379.5,38.8,4.3,0,4,6
262,98.48,0.0,1.5,0,2,0
249,399.5,53.2,3.1,0,4,5
635,394.9,41.6,5.0,1,4,5
1016,415.5,74.3,2.0,2,7,6
1425,202.25,0.0,4.9,0,0,0
397,426.5,82.2,1.7,1,7,4
1556,415.5,77.1,4.6,1,7,7
596,116.16,26.3,1.8,0,2,4
621,373.8,97.3,1.0,1,6,2
2204,114.23,0.0,3.9,0,0,5
157,133.4,0.0,1.9,0,0,1
152,211.22,88.2,-1.3,2,3,2
1951,459.5,99.9,3.6,3,7,11
1166,413.5,108.0,1.5,2,6,10
202,357.8,77.0,2.4,0,5,2
1066,156.21,106.0,1.2,2,3,1
181,88.15,20.2,1.6,1,1,3
1174,308.8,46.5,3.5,1,2,3
1328,267.24,93.2,0.0,2,6,3
1385,240.3,75.3,2.5,2,3,6
2102,60.1,20.2,0.3,1,1,0
1916,311.5,23.5,4.3,1,2,5
338,324.8,63.3,1.6,1,4,1
2363,92.14,0.0,2.7,0,0,0
467,318.37,86.4,2.2,1,4,5
1773,209.67,36.4,1.8,2,1,2
1736,311.5,37.3,4.3,1,2,5
374,206.22,23.6,0.9,0,3,1
273,524.7,74.2,7.6,1,6,27
1170,581.1,115.0,5.1,2,9,11
1419,352.9,33.2,5.5,0,2,4
1809,270.37,25.4,2.5,0,3,6
245,154.12,77.8,1.6,3,4,1
643,264.5,36.4,2.6,2,1,2
1614,390.5,51.1,3.7,2,4,6
263,165.19,52.3,1.2,1,2,3
20,352.5,33.3,4.6,2,3,6
455,416.5,81.0,2.2,0,6,9
10,266.34,70.6,0.8,3,4,7
1818,454.6,64.0,3.8,0,6,13
630,276.4,54.6,3.2,1,4,4
434,350.4,77.0,4.0,0,5,3
2056,336.5,23.6,4.0,0,2,6
1633,429.6,79.0,2.5,2,6,6
278,325.4,37.4,4.4,1,4,8
63,488.4,43.9,3.9,0,5,6
158,98.96,0.0,1.9,0,0,0
2340,74.12,20.2,0.5,1,1,0
2302,250.34,32.8,2.3,0,3,5
652,197.18,36.4,0.9,2,3,2
101,182.18,65.0,-1.0,1,4,0
324,252.27,58.9,1.3,1,2,0
162,112.21,0.0,3.8,0,0,0
609,323.4,21.1,3.7,0,3,3
1834,324.77,61.4,3.1,0,4,3
1137,318.37,86.4,2.2,1,4,5
257,356.6,65.9,5.4,1,4,4
1615,367.5,74.4,3.8,2,5,5
538,437.6,40.2,5.2,0,5,6
1429,426.5,82.2,2.2,1,7,4
2336,291.4,3.2,5.6,0,1,5
9,155.28,12.0,3.5,1,1,3
293,244.22,78.9,-0.3,2,5,2
1730,96.94,0.0,1.9,0,0,0
178,126.24,0.0,5.2,0,0,6
1343,221.3,12.0,2.8,1,1,0
489,293.74,55.4,3.3,1,4,4
120,488.7,47.1,4.6,0,3,5
1993,254.24,66.8,2.5,2,4,1
420,343.4,80.3,3.1,0,6,2
272,74.12,20.2,0.8,1,1,1
1227,434.5,48.9,3.9,0,6,7
446,53.06,23.8,0.2,0,1,0
875,290.8,54.6,4.2,1,3,3
207,324.4,45.6,2.9,1,4,4
2227,170.16,63.6,0.9,1,4,4
