,Class
2388,1
2198,0
2187,1
2336,1
2252,1
2152,1
1915,0
1997,0
2266,1
2042,1
2000,1
2275,1
2118,1
1936,1
1955,0
2035,1
2281,1
2053,1
1971,1
1957,1
2277,1
2231,1
1860,1
1965,1
2117,0
2331,0
1951,0
2074,1
1836,1
2018,1
2026,0
285,1
2251,1
2180,0
1914,1
2300,1
2122,1
2083,0
2021,0
1883,0
2298,0
2139,0
2391,1
2297,1
2057,0
2072,1
2316,1
2361,0
1901,0
2070,1
2289,1
1922,1
2164,1
2303,1
1868,0
2116,0
2206,1
2377,0
2328,0
2248,1
2264,0
1908,1
2191,0
2020,1
2306,0
2366,1
2105,0
1969,0
1979,0
1870,1
2177,1
2012,1
2200,0
2067,0
2086,0
2270,1
2286,1
1947,0
1886,0
2213,1
1987,1
2039,0
2392,1
2099,1
2376,1
2055,0
1889,0
1885,1
1992,1
2196,1
2371,1
2344,0
2163,1
1976,1
2141,1
2269,0
2176,1
2056,1
2222,0
2045,1
2110,0
2009,1
1862,1
2220,0
2185,0
2287,1
2143,1
2365,1
1875,0
1933,1
1894,1
1973,0
1964,0
2034,0
2378,1
1869,1
2066,1
2232,1
1994,1
1888,1
2359,1
1974,0
2130,0
1918,0
1913,1
2273,1
2357,1
2019,1
2324,0
1828,0
1895,1
1864,1
359,0
2230,0
2033,0
2015,0
2368,0
2257,0
2272,1
2389,1
1927,1
2050,1
2006,0
2348,1
2188,0
2113,0
2087,0
2262,1
1940,0
2305,1
2302,1
1917,1
810,1
2178,1
2240,1
1982,1
2314,1
1939,0
2091,1
2184,1
2294,0
1879,0
1873,1
2096,0
2063,1
2274,1
2044,1
2382,1
2249,0
2131,1
2101,1
2003,1
2310,0
2243,0
2279,0
2142,0
1984,0
2296,1
1867,1
2319,0
2001,0
2354,1
1881,1
1935,0
2307,0
2010,0
2111,1
2217,1
2332,1
1983,1
1861,1
2186,1
1900,0
2084,0
2160,0
2159,0
1887,1
1884,1
2313,1
1968,0
2133,1
2093,1
2064,1
2369,1
2144,1
2022,0
2291,1
2284,1
2375,1
2016,1
1949,0
2100,1
2007,0
2295,0
1962,0
2268,0
2049,0
2221,0
2271,0
1930,1
1682,0
2005,0
2011,0
2140,0
2127,0
2125,0
2393,1
2210,0
2373,1
2247,1
2337,0
2181,0
1961,1
2242,1
2209,0
2293,1
2174,1
2345,1
2032,1
2234,1
2315,1
2128,0
2168,1
2323,1
1952,0
2385,0
2158,1
2002,1
1954,0
2246,0
2103,0
1902,0
2126,1
2079,1
2004,0
2190,1
1991,1
2037,0
1880,1
1897,0
2367,0
2171,0
2203,1
2060,1
2089,0
2364,1
1959,1
2301,0
1934,1
2138,1
2333,1
2162,0
2173,1
1998,0
2095,0
2167,1
